CPI for All Urban Consumers (CPI-U),,,,,,,,
,,,,,,,,
Series Title,"All items in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,
Series ID,CUSR0000SA0,,,,,,,
Seasonality,Seasonally Adjusted,,,,,,,
Survey Name,CPI for All Urban Consumers (CPI-U),,,,,,,
Measure Data Type,All items,,,,,,,
Area,U.S. city average,,,,,,,
Item,All items,,,,,,,
,,,,,,,,
,,,,,,,,
Year,Month,Label,Observation Value,Gas Prices,Inflation Rate,PPI,Median Housing Cost,PCE
2000,01,2000 Jan,169.30,1.356,2.0,128.3,234485.43,77.18
2000,02,2000 Feb,170.00,1.422,2.2,129.8,232678.76,77.422
2000,03,2000 Mar,171.00,1.594,2.4,130.8,233444.53,77.755
2000,04,2000 Apr,170.90,1.561,2.3,130.7,235519.47,77.69
2000,05,2000 May,171.20,1.552,2.4,131.6,237099.39,77.755
2000,06,2000 Jun,172.20,1.666,2.5,133.8,238276.76,78.019
2000,07,2000 Jul,172.70,1.642,2.5,133.7,238929.98,78.214
2000,08,2000 Aug,172.70,1.559,2.6,132.9,239632.76,78.209
2000,09,2000 Sep,173.60,1.635,2.6,134.7,239373.26,78.545
2000,10,2000 Oct,173.90,1.613,2.5,135.4,239741.57,78.652
2000,11,2000 Nov,174.20,1.608,2.6,135,240367.84,78.762
2000,12,2000 Dec,174.60,1.544,2.6,136.2,241237.16,78.883
2001,01,2001 Jan,175.60,1.525,2.6,140,240728.99,79.265
2001,02,2001 Feb,176.00,1.538,2.7,137.4,241332.96,79.388
2001,03,2001 Mar,176.10,1.503,2.7,135.9,242951.23,79.395
2001,04,2001 Apr,176.40,1.617,2.6,136.4,244098.38,79.534
2001,05,2001 May,177.30,1.812,2.5,136.8,245000.86,79.743
2001,06,2001 Jun,177.70,1.731,2.7,135.5,246618.46,79.885
2001,07,2001 Jul,177.40,1.565,2.7,133.4,248697.8,79.858
2001,08,2001 Aug,177.40,1.509,2.7,133.4,249642.61,79.848
2001,09,2001 Sep,178.10,1.609,2.6,133.3,249382,79.577
2001,10,2001 Oct,177.60,1.442,2.6,130.3,251184.05,79.857
2001,11,2001 Nov,177.50,1.324,2.8,129.8,251543.64,79.803
2001,12,2001 Dec,177.40,1.200,2.7,128.1,253407.39,79.721
2002,01,2002 Jan,177.7,1.209,2.6,128.5,253667.71,79.793
2002,02,2002 Feb,178.0,1.210,2.6,128.4,254083.85,79.926
2002,03,2002 Mar,178.5,1.324,2.4,129.8,255169.38,80.144
2002,04,2002 Apr,179.3,1.493,2.5,130.8,255872.95,80.479
2002,05,2002 May,179.5,1.508,2.5,130.8,258638.97,80.531
2002,06,2002 Jun,179.6,1.489,2.3,130.9,261018.6,80.632
2002,07,2002 Jul,180.0,1.496,2.2,131.2,262462.64,80.81
2002,08,2002 Aug,180.5,1.508,2.4,131.5,263047.29,80.969
2002,09,2002 Sep,180.8,1.507,2.2,132.3,263729.54,81.115
2002,10,2002 Oct,181.2,1.535,2.2,133.2,264473.32,81.262
2002,11,2002 Nov,181.5,1.534,2.0,133.1,265079.37,81.343
2002,12,2002 Dec,181.8,1.477,1.9,132.9,266736.42,81.421
2003,01,2003 Jan,182.6,1.557,1.9,135.3,266405.41,81.664
2003,02,2003 Feb,183.6,1.686,1.7,137.6,266105.55,82.009
2003,03,2003 Mar,183.9,1.791,1.7,141.2,266337.31,82.219
2003,04,2003 Apr,183.2,1.704,1.5,136.8,269418.26,82.08
2003,05,2003 May,182.9,1.587,1.6,136.7,272521.69,81.986
2003,06,2003 Jun,183.1,1.558,1.5,138,274444.34,82.074
2003,07,2003 Jul,183.7,1.567,1.5,137.7,276252.75,82.315
2003,08,2003 Aug,184.5,1.671,1.3,138,277006.5,82.593
2003,09,2003 Sep,185.1,1.771,1.2,138.5,277810.84,82.852
2003,10,2003 Oct,184.9,1.646,1.3,139.3,278970.8,82.862
2003,11,2003 Nov,185.0,1.578,1.1,138.9,280933.56,82.967
2003,12,2003 Dec,185.5,1.538,1.1,139.5,282571.96,83.15
2004,01,2004 Jan,186.3,1.635,1.1,141.4,282026.24,83.471
2004,02,2004 Feb,186.7,1.715,1.2,142.1,282887.51,83.649
2004,03,2004 Mar,187.1,1.809,1.6,143.1,284192.78,83.778
2004,04,2004 Apr,187.4,1.875,1.8,144.8,286638.64,83.934
2004,05,2004 May,188.2,2.050,1.7,146.8,289038.56,84.206
2004,06,2004 Jun,188.9,2.083,1.9,147.2,292056.87,84.447
2004,07,2004 Jul,189.1,1.982,1.8,147.4,294916.3,84.525
2004,08,2004 Aug,189.2,1.941,1.7,148,296713.73,84.569
2004,09,2004 Sep,189.8,1.934,2.0,147.7,297717.95,84.735
2004,10,2004 Oct,190.8,2.072,2.0,150,297521.57,85.099
2004,11,2004 Nov,191.7,2.053,2.2,151.4,298970.49,85.427
